   5.1000000000000001e-01	   7.0397088859662249e-01	   8.0800949675880296e-01	   8.5851742306828926e-01	   8.8809114731965000e-01	   9.0744774783660920e-01	   9.2108144723786012e-01	   9.3119536326975760e-01	   9.3899313489337999e-01	
   5.2000000000000002e-01	   6.9142295760315986e-01	   7.9837625318427641e-01	   8.5050612480177556e-01	   8.8108349740572578e-01	   9.0111650010221189e-01	   9.1523520185599372e-01	   9.2571322659779320e-01	   9.3379411657542977e-01	
   5.3000000000000003e-01	   6.7919884935096064e-01	   7.8908464499845565e-01	   8.4285784018578558e-01	   8.7445527156687164e-01	   8.9517692209173338e-01	   9.0978993981394862e-01	   9.2063933769118234e-01	   9.2900914730489070e-01	
   5.4000000000000004e-01	   6.7204429480246652e-01	   7.8547646406217875e-01	   8.4114113462827600e-01	   8.7389450087241793e-01	   8.9539110095564833e-01	   9.1055829944331435e-01	   9.2182310708813575e-01	   9.3051562161984713e-01	
   5.5000000000000004e-01	   6.6321589599569308e-01	   7.8001784995385814e-01	   8.3752124464660072e-01	   8.7140780299722809e-01	   8.9366731304352798e-01	   9.0938143442078445e-01	   9.2105687034139216e-01	   9.3006873156171688e-01	
   5.6000000000000005e-01	   6.5276629639075701e-01	   7.7273610875210941e-01	   8.3201592603880803e-01	   8.6700807768113619e-01	   8.9001553200752870e-01	   9.0626736171579081e-01	   9.1834724217089492e-01	   9.2767403644229662e-01	
   5.7000000000000006e-01	   6.4075231700971536e-01	   7.6366161697128065e-01	   8.2464555852362742e-01	   8.6071064564013455e-01	   8.8444804242747632e-01	   9.0122634137635838e-01	   9.1370303457269841e-01	   9.2333925984582033e-01	
   5.7999999999999996e-01	   6.2723499632343160e-01	   7.5282785472122349e-01	   8.1543315186850851e-01	   8.5253324403533060e-01	   8.7697943136776835e-01	   8.9427086682238777e-01	   9.0713524692886360e-01	   9.1707428000258395e-01	
   5.8999999999999997e-01	   6.1764987922020942e-01	   7.4650450844770044e-01	   8.1096575309128083e-01	   8.4922939808197229e-01	   8.7446610918913970e-01	   8.9232744181685253e-01	   9.0562130717268019e-01	   9.1589524710109971e-01	
   5.9999999999999998e-01	   6.0920032990216932e-01	   7.4151318531901067e-01	   8.0791992379319533e-01	   8.4739949145686189e-01	   8.7346135079599851e-01	   8.9191724083098212e-01	   9.0565906910655825e-01	   9.1628228478665363e-01	
   6.0999999999999999e-01	   5.9922214860813772e-01	   7.3474722312892338e-01	   8.0302049887767857e-01	   8.4368014817108250e-01	   8.7054736710411773e-01	   8.8958545717077109e-01	   9.0376686061631362e-01	   9.1473330909018458e-01	
   6.2000000000000000e-01	   5.8777444063980377e-01	   7.2623830295648695e-01	   7.9628844177695179e-01	   8.3808687115297409e-01	   8.6573637886498100e-01	   8.8534212232312903e-01	   8.9995314728476328e-01	   9.1125560862532407e-01	
   6.3000000000000000e-01	   5.7492035387298546e-01	   7.1602120624781063e-01	   7.8774734476121444e-01	   8.3063757472983535e-01	   8.5904290241129422e-01	   8.7919949367554984e-01	   8.9422857465215988e-01	   9.0585861952886271e-01	
   6.4000000000000001e-01	   5.6156330972949609e-01	   7.0514025709829631e-01	   7.7849496786184513e-01	   8.2245810176450562e-01	   8.5161017686721552e-01	   8.7231268600314849e-01	   8.8775689937865709e-01	   8.9971267815552936e-01	
   6.5000000000000002e-01	   5.5350247104907901e-01	   7.0061044620167245e-01	   7.7601202586055495e-01	   8.2127223783305681e-01	   8.5131154679343424e-01	   8.7265662930202925e-01	   8.8858670897955738e-01	   9.0092230689528630e-01	
   6.6000000000000003e-01	   5.4400984983173739e-01	   6.9435791636161803e-01	   7.7170985958699001e-01	   8.1822255771041674e-01	   8.4912418133085299e-01	   8.7109613555325582e-01	   8.8750134895487354e-01	   9.0020899020482514e-01	
   6.7000000000000004e-01	   5.3314619472579250e-01	   6.8641551927105460e-01	   7.6560997677879361e-01	   8.1332473331313371e-01	   8.4506023374063899e-01	   8.6764100818417877e-01	   8.8450894099696153e-01	   8.9757958529248327e-01	
   6.7999999999999994e-01	   5.2097608546314733e-01	   6.7681919525843548e-01	   7.5773651054095614e-01	   8.0659684187088976e-01	   8.3913414517523166e-01	   8.6230326831078430e-01	   8.7961977858843565e-01	   8.9304308902403795e-01	
   6.8999999999999995e-01	   5.0756790780639682e-01	   6.6560801528773395e-01	   7.4811623451199960e-01	   7.9805936655131404e-01	   8.3136263884623252e-01	   8.5509714617705201e-01	   8.7284631742115937e-01	   8.8661062812251457e-01	
   6.9999999999999996e-01	   4.9679779799889867e-01	   6.5764319865853471e-01	   7.4199117753569421e-01	   7.9315278900064756e-01	   8.2730804622422083e-01	   8.5166760820694987e-01	   8.6989337724280658e-01	   8.8403244236897871e-01	
   7.0999999999999996e-01	   4.8779115512284399e-01	   6.5189557900316286e-01	   7.3827395109962901e-01	   7.9075934580680540e-01	   8.2583389700363097e-01	   8.5086547093106368e-01	   8.6960255545931142e-01	   8.8414312930119188e-01	
   7.1999999999999997e-01	   4.7751495066497696e-01	   6.4451434864963231e-01	   7.3279637122955288e-01	   7.8654553249237225e-01	   8.2250528221697783e-01	   8.4818711846056138e-01	   8.6742050738507959e-01	   8.8235162880451501e-01	
   7.2999999999999998e-01	   4.6603448818319726e-01	   6.3553643101271584e-01	   7.2558305504760079e-01	   7.8052956768812898e-01	   8.1733655973109176e-01	   8.4364433353050350e-01	   8.6335717532774869e-01	   8.7866650095557453e-01	
